GelC01G00002	K12818
GelC05G00531	K05666
GelC05G00532	K01762
GelC05G00536	K18404
GelC05G00537	K01595
GelC05G00541	K03405
GelC05G00542	K02990
GelC05G00546	K12811
GelC05G00551	K14497
GelC05G00552	K12638
GelC05G00553	K04424
GelC05G00554	K20359
GelC05G00557	K00036
GelC05G00558	K10990
GelC05G00560	K24272
GelC05G00561	K10752
GelC05G00564	K25870
GelC05G00567	K23544
GelC05G00571	K10999
GelC05G00572	K11599
GelC05G00573	K02520
GelC05G00574	K13065
GelC05G00575	K11654
GelC05G00577	K13250
GelC05G00586	K15382
GelC05G00588	K13430
GelC05G00589	K03676
GelC05G00590	K15454
GelC05G00594	K01728
GelC05G00595	K01728
GelC05G00596	K01728
GelC05G00601	K01728
GelC05G00604	K00873
GelC05G00607	K14488
GelC05G00608	K14488
GelC05G00612	K09286
GelC05G00616	K05853
GelC05G00618	K16296
GelC05G00621	K01404
GelC05G00623	K03527
GelC05G00626	K22857
GelC05G00627	K11968
GelC05G00629	K11816
GelC05G00630	K18328
GelC05G00631	K05658
GelC05G00632	K00913
GelC05G00637	K11498
GelC05G00640	K20619
GelC05G00646	K09264
GelC05G00648	K13648
GelC05G00649	K20471
GelC05G00654	K14503
GelC05G00655	K17279
GelC05G00667	K05391
GelC05G00669	K17744
GelC05G00671	K07195
GelC05G00672	K12741
GelC05G00673	K25780
GelC05G00674	K09506
GelC05G00680	K23341
GelC05G00681	K01867
GelC05G00683	K02946
GelC05G00685	K17508
GelC05G00686	K11252
GelC05G00688	K05280
GelC05G00691	K05280
GelC05G00694	K12399
GelC05G00698	K18211
GelC05G00700	K13150
GelC05G00703	K00826
GelC05G00705	K02160
GelC05G00708	K06183
GelC05G00711	K08504
GelC05G00716	K12158
GelC05G00717	K15718
GelC05G00718	K17822
GelC05G00720	K15032
GelC05G00728	K00465
GelC05G00733	K25762
GelC05G00735	K13412
GelC05G00741	K10956
GelC05G00742	K01738
GelC05G00747	K08065
GelC05G00754	K24796
GelC05G00756	K13348
GelC05G00757	K08867
GelC05G00770	K09489
GelC05G00771	K04120
GelC05G00772	K12817
GelC05G00773	K07025
GelC05G00775	K09377
GelC05G00783	K13356
GelC05G00791	K19892
GelC05G00795	K14778
GelC05G00798	K10728
GelC05G00800	K00430
GelC05G00801	K17471
GelC05G00805	K15111
GelC05G00811	K24205
GelC05G00812	K08967
GelC05G00813	K10872
GelC05G00815	K01194
GelC05G00816	K01194
GelC05G00817	K13648
GelC05G00820	K20359
GelC05G00828	K01835
GelC05G00832	K18324
GelC05G00833	K14538
GelC05G00835	K14538
GelC05G00837	K01874
GelC05G00839	K11778
GelC05G00845	K17911
GelC05G00881	K10418
GelC05G00887	K14489
GelC05G00891	K11420
GelC05G00894	K01915
GelC05G00900	K21919
GelC05G00901	K11275
GelC05G00905	K09286
GelC05G00910	K13346
GelC05G00911	K15121
GelC05G00913	K15305
GelC05G00914	K10206
GelC05G00915	K05681
GelC05G00916	K15032
GelC05G00918	K00908
GelC05G00919	K01530
GelC05G00922	K20306
GelC05G00923	K21891
GelC05G00924	K17807
GelC05G00930	K13448
GelC05G00931	K03128
GelC05G00932	K09264
GelC05G00942	K08737
GelC05G00945	K18757
GelC05G00946	K14638
GelC05G00947	K13947
GelC05G00956	K07766
GelC05G00973	K04507
GelC05G00978	K03377
GelC05G00982	K02303
GelC05G00983	K13217
GelC05G00984	K11375
GelC05G00988	K00703
GelC05G00992	K03357
GelC05G00994	K09422
GelC05G00996	K23260
GelC05G00998	K01673
GelC05G01003	K18693
GelC05G01005	K09287
GelC05G01009	K16287
GelC05G01018	K03111
GelC05G01019	K08360
GelC05G01024	K10808
GelC05G01037	K14432
GelC05G01041	K23490
GelC05G01042	K03517
GelC05G01044	K14442
GelC05G01045	K12189
GelC05G01047	K22399
GelC05G01048	K00737
GelC05G01049	K14850
GelC05G01061	K05954
GelC05G01063	K01373
GelC05G01065	K03259
GelC05G01068	K12598
GelC05G01071	K03453
GelC05G01072	K06911
GelC05G01073	K16904
GelC05G01077	K12462
GelC05G01078	K00231
GelC05G01079	K01267
GelC05G01080	K03671
GelC05G01081	K01510
GelC05G01083	K16280
GelC05G01091	K03801
GelC05G01092	K00006
GelC05G01094	K10251
GelC05G01099	K23538
GelC05G01100	K00588
GelC05G01102	K00588
GelC05G01104	K00588
GelC05G01106	K05016
GelC05G01107	K05016
GelC05G01108	K14308
GelC05G01110	K14007
GelC05G01115	K22651
GelC05G01122	K13456
GelC05G01123	K13456
GelC05G01124	K06628
GelC05G01125	K06027
GelC05G01126	K13456
GelC05G01128	K03456
GelC05G01130	K24348
GelC05G01131	K05292
GelC05G01133	K22390
GelC05G01134	K02152
GelC05G01138	K01183
GelC05G01140	K11884
GelC05G01142	K14838
GelC05G01143	K14570
GelC05G01144	K00600
GelC05G01145	K22772
GelC05G01146	K01251
GelC05G01147	K09419
GelC05G01150	K14006
GelC05G01151	K18999
GelC05G01153	K11095
GelC05G01155	K02989
GelC05G01159	K03781
GelC05G01162	K00031
GelC05G01164	K15152
GelC05G01170	K05605
GelC05G01183	K19041
GelC05G01186	K14454
GelC05G01202	K02911
GelC05G01203	K10664
GelC05G01206	K16900
GelC05G01209	K02607
GelC05G01211	K02607
GelC05G01215	K00940
GelC05G01222	K12860
GelC05G01223	K15382
GelC05G01229	K00053
GelC05G01234	K14686
GelC05G01237	K14803
GelC05G01238	K11816
GelC05G01247	K03066
GelC05G01248	K20301
GelC05G01249	K10761
GelC05G01255	K14546
GelC05G01258	K02265
GelC05G01259	K01213
GelC05G01265	K01115
GelC05G01268	K01184
GelC05G01270	K09775
GelC05G01272	K21989
GelC05G01277	K12827
GelC05G01280	K05387
GelC05G01281	K07025
GelC05G01285	K11000
GelC05G01286	K06875
GelC05G01290	K01061
GelC05G01292	K15382
GelC05G01295	K25786
GelC05G01297	K20716
GelC05G01299	K02212
GelC05G01300	K09422
GelC05G01307	K10760
GelC05G01309	K18368
GelC05G01316	K12865
GelC05G01323	K13336
GelC05G01328	K03118
GelC05G01329	K21626
GelC05G01331	K03327
GelC05G01332	K03327
GelC05G01334	K03327
GelC05G01337	K03327
GelC05G01338	K03327
GelC05G01339	K10753
GelC05G01341	K01918
GelC05G01342	K22071
GelC05G01345	K22856
GelC05G01346	K10758
GelC05G01347	K12836
GelC05G01348	K13680
GelC05G01349	K12449
GelC05G01352	K19042
GelC05G01353	K03013
GelC05G01358	K00915
GelC05G01363	K07515
GelC05G01364	K14677
GelC05G01365	K02978
GelC05G01370	K11755
GelC05G01372	K20870
GelC05G01376	K15111
GelC05G01379	K15111
GelC05G01381	K00670
GelC05G01384	K02200
GelC05G01387	K05917
GelC05G01390	K11254
GelC05G01391	K16297
GelC05G01396	K11583
GelC05G01397	K10740
GelC05G01402	K10532
GelC05G01403	K10899
GelC05G01405	K09584
GelC05G01406	K03017
GelC05G01408	K25786
GelC05G01413	K12820
GelC05G01414	K01262
GelC05G01417	K04125
GelC05G01418	K09494
GelC05G01419	K24971
GelC05G01423	K20102
GelC05G01425	K24194
GelC05G01427	K20843
GelC05G01428	K00382
GelC05G01431	K02977
GelC05G01433	K17601
GelC05G01435	K01648
GelC05G01436	K13436
GelC05G01441	K08869
GelC05G01443	K16241
GelC05G01444	K14484
GelC05G01452	K08494
GelC05G01454	K01363
GelC05G01455	K01756
GelC05G01457	K11699
GelC05G01466	K12859
GelC05G01468	K10632
GelC05G01470	K20168
GelC06G00001	K05658
GelC06G00003	K20716
GelC06G00007	K13508
GelC06G00011	K14841
GelC06G00014	K00451
GelC06G00022	K01760
GelC06G00033	K12196
GelC06G00035	K02924
GelC06G00036	K02735
GelC06G00038	K17362
GelC06G00040	K18914
GelC06G00042	K23562
GelC06G00043	K14484
GelC06G00044	K00784
GelC06G00045	K02901
GelC06G00049	K01409
GelC06G00050	K09422
GelC06G00052	K01412
GelC06G00059	K00850
GelC06G00060	K04485
GelC06G00061	K18443
GelC06G00063	K13199
GelC06G00065	K00422
GelC06G00067	K14566
GelC06G00070	K07052
GelC06G00072	K11279
GelC06G00076	K01513
GelC06G00077	K11145
GelC06G00078	K11418
GelC06G00083	K14709
GelC06G00084	K01530
GelC06G00087	K17471
GelC06G00088	K17471
GelC06G00092	K13425
GelC06G00095	K10393
GelC06G00096	K11816
GelC06G00097	K02921
GelC06G00099	K02921
GelC06G00101	K02921
GelC06G00102	K02921
GelC06G00104	K11273
GelC06G00106	K07897
GelC06G00107	K08653
GelC06G00109	K13118
GelC06G00111	K04706
GelC06G00117	K10357
GelC06G00119	K15264
GelC06G00121	K03024
GelC06G00123	K12398
GelC06G00129	K18368
GelC06G00131	K08237
GelC06G00133	K14506
GelC06G00139	K00889
GelC06G00146	K00671
GelC06G00147	K01738
GelC06G00149	K02218
GelC06G00150	K01897
GelC06G00152	K17506
GelC06G00154	K05280
GelC06G00155	K14313
GelC06G00157	K01179
GelC06G00161	K14496
GelC06G00162	K14692
GelC06G00166	K11699
GelC06G00167	K02974
GelC06G00171	K09286
GelC06G00178	K02902
GelC06G00183	K09874
GelC06G00184	K15731
GelC06G00192	K14379
GelC06G00195	K15104
GelC06G00200	K19600
GelC06G00211	K03846
GelC06G00212	K14512
GelC06G00214	K06630
GelC06G00221	K09832
GelC06G00232	K13117
GelC06G00237	K19038
GelC06G00241	K23978
GelC06G00244	K12604
GelC06G00250	K16223
GelC06G00253	K22909
GelC06G00256	K08711
GelC06G00259	K04124
GelC06G00260	K00837
GelC06G00261	K00837
GelC06G00263	K10781
GelC06G00265	K08235
GelC06G00268	K03655
GelC06G00272	K12446
GelC06G00277	K01723
GelC06G00278	K14137
GelC06G00279	K19893
GelC06G00280	K21813
GelC06G00281	K20102
GelC06G00282	K06670
GelC06G00283	K01673
GelC06G00290	K20724
GelC06G00297	K09566
GelC06G00298	K19986
GelC06G00356	K11864
GelC06G00365	K07195
GelC06G00366	K12403
GelC06G00368	K21480
GelC06G00435	K15193
GelC06G00438	K02265
GelC06G00439	K24194
GelC06G00442	K15639
GelC06G00444	K22940
GelC06G00445	K08711
GelC06G00447	K08711
GelC06G00448	K08711
GelC06G00452	K12741
GelC06G00455	K24193
GelC06G00461	K24195
GelC06G00462	K18749
GelC06G00479	K02907
GelC06G00484	K15397
GelC06G00485	K22686
GelC06G00486	K01873
GelC06G00488	K20891
GelC06G00496	K17583
GelC06G00510	K10406
GelC06G00517	K07904
GelC06G00527	K17795
GelC06G00534	K07767
GelC06G00536	K21867
GelC06G00540	K23741
GelC06G00542	K15463
GelC06G00543	K08711
GelC06G00545	K00591
GelC06G00551	K14558
GelC06G00553	K19355
GelC06G00573	K11805
GelC06G00582	K01307
GelC06G00585	K03847
GelC06G00591	K18192
GelC06G00593	K06677
GelC06G00594	K13250
GelC06G00598	K07195
GelC06G00599	K20535
GelC06G00604	K25786
GelC06G00605	K12850
GelC06G00606	K05929
GelC06G00610	K24193
GelC06G00611	K08073
GelC06G00613	K21737
GelC06G00614	K15133
GelC06G00618	K14490
GelC06G00619	K02726
GelC06G00620	K01728
GelC06G00621	K01728
GelC06G00623	K24260
GelC06G00624	K16055
GelC06G00630	K10801
GelC06G00631	K00858
GelC06G00637	K17508
GelC06G00639	K09060
GelC06G00641	K20523
GelC06G00642	K09419
GelC06G00664	K12795
GelC06G00668	K17771
GelC06G00669	K17795
GelC06G00673	K14484
GelC06G00674	K00844
GelC06G00675	K22530
GelC06G00676	K04043
GelC06G00677	K05841
GelC06G00679	K01519
GelC06G00680	K03686
GelC06G00681	K10779
GelC06G00682	K07513
GelC06G00683	K22184
GelC06G00684	K12898
GelC06G00686	K14324
GelC06G00691	K10571
GelC06G00694	K02948
GelC06G00701	K01338
GelC06G00706	K12130
GelC06G00709	K10878
GelC06G00710	K19658
GelC06G00711	K02727
GelC06G00717	K07304
GelC06G00718	K14486
GelC06G00719	K13412
GelC06G00720	K09549
GelC06G00721	K12613
GelC06G00724	K00430
GelC06G00726	K20924
GelC06G00730	K13066
GelC06G00732	K09264
GelC06G00733	K09264
GelC06G00737	K08711
GelC06G00738	K12863
GelC06G00745	K00981
GelC06G00749	K03256
GelC06G00752	K06620
GelC06G00755	K03327
GelC06G00756	K19045
GelC06G00759	K21806
GelC06G00761	K08880
GelC06G00762	K12833
GelC06G00763	K11353
GelC06G00764	K05941
GelC06G00764	K25587
GelC06G00767	K06927
GelC06G00768	K11778
GelC06G00769	K05841
GelC06G00770	K09250
GelC06G00771	K13154
GelC06G00772	K12619
GelC06G00776	K00016
GelC06G00778	K14484
GelC06G00780	K02957
GelC06G00781	K17888
GelC06G00786	K09499
GelC06G00787	K00264
GelC06G00788	K03124
GelC06G00789	K10526
GelC06G00793	K14851
GelC06G00794	K14964
GelC06G00796	K12489
GelC06G00800	K11420
GelC06G00801	K00591
GelC06G00806	K05909
GelC06G00807	K05909
GelC06G00808	K00658
GelC06G00810	K00162
GelC06G00816	K17560
GelC06G00817	K14819
GelC06G00821	K12625
GelC06G00823	K02899
GelC06G00825	K17046
GelC06G00826	K01845
GelC06G00827	K08507
GelC06G00828	K15559
GelC06G00829	K15559
GelC06G00833	K01493
GelC06G00834	K12164
GelC06G00835	K07178
GelC06G00838	K00387
GelC06G00840	K02880
GelC06G00842	K20289
GelC06G00843	K11368
GelC06G00849	K11251
GelC06G00850	K20003
GelC06G00861	K13199
GelC06G00871	K14493
GelC06G00872	K08874
GelC06G00873	K15032
GelC06G00875	K17426
GelC06G00880	K18177
GelC06G00882	K12876
GelC06G00883	K24205
GelC06G00885	K13207
GelC06G00891	K09873
GelC06G00893	K09571
GelC06G00894	K09569
GelC06G00895	K10734
GelC06G00896	K17285
GelC06G00905	K05755
GelC06G00906	K10949
GelC06G00907	K00696
GelC06G00911	K01783
GelC06G00912	K01783
GelC06G00914	K09496
GelC06G00915	K09496
GelC06G00917	K10846
GelC06G00924	K12882
GelC06G00933	K19600
GelC06G00934	K14567
GelC06G00936	K10364
GelC06G00937	K15382
GelC06G00939	K21989
GelC06G00940	K01285
GelC06G00947	K11752
GelC06G00948	K11752
GelC06G00950	K02899
GelC06G00950	K03941
GelC06G00954	K14018
GelC06G00955	K02881
GelC06G00957	K03021
GelC06G00961	K03940
GelC06G00962	K13210
GelC06G00963	K20776
GelC06G00965	K12125
GelC06G00967	K11155
GelC06G00968	K22522
GelC06G00969	K20771
GelC06G00972	K01530
GelC06G00975	K25870
GelC06G00976	K12741
GelC06G00979	K20069
GelC06G00981	K05389
GelC06G00982	K17046
GelC06G00984	K08065
GelC06G00985	K05543
GelC06G00986	K09590
GelC06G00998	K02150
GelC06G01005	K15119
GelC06G01012	K08237
GelC06G01014	K08237
GelC06G01015	K08237
GelC06G01017	K13127
GelC06G01018	K14496
GelC06G01019	K14496
GelC06G01021	K14292
GelC06G01023	K11979
GelC06G01029	K21767
GelC06G01030	K01369
GelC06G01034	K01000
GelC06G01038	K11855
GelC06G01039	K23741
GelC06G01048	K15326
GelC06G01049	K15326
GelC06G01050	K21867
GelC06G01052	K07767
GelC06G01055	K10643
GelC06G01060	K15009
GelC06G01063	K13341
GelC06G01073	K23953
GelC06G01088	K09419
GelC06G01093	K25829
GelC06G01094	K16223
GelC06G01097	K09264
GelC06G01098	K09264
GelC06G01099	K13648
GelC06G01106	K09286
GelC06G01107	K11808
GelC06G01108	K25112
GelC06G01109	K17550
GelC06G01112	K10406
GelC06G01114	K02974
GelC06G01115	K02974
GelC06G01120	K14484
GelC06G01121	K03234
GelC06G01124	K17602
GelC06G01126	K01886
GelC06G01129	K06067
GelC06G01136	K12355
GelC06G01137	K03232
GelC06G01139	K03232
GelC06G01140	K21751
GelC06G01142	K03574
GelC06G01143	K03574
GelC06G01152	K06632
GelC06G01155	K14156
GelC06G01158	K10590
GelC06G01166	K13415
GelC06G01168	K24825
GelC06G01170	K01530
GelC06G01171	K02137
GelC06G01173	K00626
GelC06G01174	K16287
GelC06G01175	K14800
GelC06G01176	K00122
GelC06G01179	K13343
GelC06G01180	K00099
GelC06G01181	K00876
GelC06G01183	K22068
GelC06G01184	K24265
GelC06G01185	K00914
GelC06G01186	K01247
GelC06G01188	K01956
GelC06G01189	K23387
GelC06G01190	K01465
GelC06G01191	K17681
GelC06G01194	K19600
GelC06G01197	K23050
GelC06G01203	K00815
GelC06G01204	K00815
GelC06G01205	K00815
GelC06G01206	K20535
GelC06G01208	K25786
GelC07G00002	K10572
GelC07G00003	K03301
GelC07G00006	K20792
GelC07G00007	K10803
GelC07G00008	K11594
GelC07G00009	K18443
GelC07G00012	K24348
GelC07G00015	K13126
GelC07G00018	K02684
GelC07G00025	K08737
GelC07G00027	K17302
GelC07G00031	K03426
GelC07G00040	K09510
GelC07G00047	K02990
GelC07G00049	K02990
GelC07G00050	K03236
GelC07G00051	K03012
GelC07G00053	K00815
GelC07G00059	K01867
GelC07G00060	K02542
GelC07G00061	K23154
GelC07G00064	K06627
GelC07G00065	K00921
GelC07G00066	K02901
GelC07G00072	K08960
GelC07G00073	K08235
GelC07G00074	K14484
GelC07G00083	K10689
GelC07G00086	K18482
GelC07G00090	K00606
GelC07G00092	K02349
GelC07G00094	K11816
GelC07G00095	K13348
GelC07G00099	K13412
GelC07G00105	K13199
GelC07G00109	K08506
GelC07G00110	K09422
GelC07G00116	K04382
GelC07G00117	K08776
GelC07G00118	K08776
GelC07G00119	K12854
GelC07G00121	K03238
GelC07G00127	K11592
GelC07G00128	K08790
GelC07G00129	K20826
GelC07G00131	K13161
GelC07G00133	K11279
GelC07G00134	K12823
GelC07G00135	K12259
GelC07G00142	K25870
GelC07G00144	K14508
GelC07G00149	K02218
GelC07G00154	K08235
GelC07G00155	K03113
GelC07G00166	K09419
GelC07G00168	K02927
GelC07G00169	K09264
GelC07G00171	K10639
GelC07G00173	K03504
GelC07G00175	K07904
GelC07G00177	K14455
GelC07G00180	K08900
GelC07G00181	K00430
GelC07G00182	K00430
GelC07G00185	K19600
GelC07G00186	K03627
GelC07G00188	K10580
GelC07G00197	K15208
GelC07G00200	K00026
GelC07G00201	K03152
GelC07G00206	K00031
GelC07G00207	K22909
GelC07G00211	K07020
GelC07G00214	K20558
GelC07G00217	K13210
GelC07G00223	K12450
GelC07G00226	K02372
GelC07G00231	K02906
GelC07G00252	K08711
GelC07G00253	K00029
GelC07G00255	K24917
GelC07G00264	K01728
GelC07G00267	K13511
GelC07G00268	K12607
GelC07G00269	K14409
GelC07G00270	K10563
GelC07G00272	K22390
GelC07G00274	K15289
GelC07G00275	K20854
GelC07G00279	K10683
GelC07G00286	K17086
GelC07G00297	K02689
GelC07G00299	K19882
GelC07G00300	K03134
GelC07G00308	K20716
GelC07G00311	K14775
GelC07G00317	K22683
GelC07G00323	K07560
GelC07G00324	K04392
GelC07G00329	K14486
GelC07G00338	K19269
GelC07G00347	K12173
GelC07G00353	K10398
GelC07G00355	K21552
GelC07G00356	K06228
GelC07G00359	K00975
GelC07G00361	K12486
GelC07G00362	K12587
GelC07G00368	K23564
GelC07G00371	K01555
GelC07G00376	K20286
GelC07G00377	K18835
GelC07G00378	K01213
GelC07G00380	K20304
GelC07G00381	K09529
GelC07G00384	K03255
GelC07G00385	K14431
GelC07G00386	K16810
GelC07G00387	K20477
GelC07G00388	K16223
GelC07G00389	K16223
GelC07G00390	K16223
GelC07G00393	K20924
GelC07G00394	K15176
GelC07G00395	K00021
GelC07G00396	K23869
GelC07G00399	K02331
GelC07G00404	K14793
GelC07G00405	K00868
GelC07G00419	K18368
GelC07G00420	K05986
GelC07G00427	K18678
GelC07G00428	K09284
GelC07G00430	K10661
GelC07G00434	K14505
GelC07G00436	K11339
GelC07G00438	K01011
GelC07G00442	K00083
GelC07G00445	K15131
GelC07G00446	K11147
GelC07G00449	K13456
GelC07G00451	K09286
GelC07G00453	K11578
GelC07G00455	K09716
GelC07G00457	K02133
GelC07G00458	K12261
GelC07G00462	K11599
GelC07G00464	K14376
GelC07G00465	K03327
GelC07G00466	K14568
GelC07G00467	K11991
GelC07G00468	K13123
GelC07G00470	K23260
GelC07G00473	K05658
GelC07G00474	K09833
GelC07G00475	K09540
GelC07G00476	K19222
GelC07G00478	K15601
GelC07G00481	K09753
GelC07G00485	K14795
GelC07G00487	K02942
GelC07G00488	K19306
GelC07G00489	K11253
GelC07G00490	K11253
GelC07G00491	K11253
GelC07G00492	K00016
GelC07G00495	K17943
GelC07G00502	K14795
GelC07G00506	K19562
GelC07G00507	K18677
GelC07G00508	K15032
GelC07G00509	K10577
GelC07G00510	K10577
GelC07G00512	K19893
GelC07G00516	K00161
GelC07G00521	K11805
GelC07G00523	K11584
GelC07G00525	K25868
GelC07G00526	K01792
GelC07G00529	K11593
GelC07G00532	K10755
GelC07G00533	K12813
GelC07G00537	K20660
GelC07G00538	K02725
GelC07G00539	K00611
GelC07G00541	K22063
GelC07G00548	K20180
GelC07G00549	K01823
GelC07G00551	K09486
GelC07G00552	K12462
GelC07G00553	K15535
GelC07G00555	K15889
GelC07G00556	K16241
GelC07G00559	K03177
GelC07G00560	K11790
GelC07G00561	K03007
GelC07G00563	K15363
GelC07G00568	K11266
GelC07G00574	K20784
GelC07G00576	K15382
GelC07G00577	K14703
GelC07G00579	K22544
GelC07G00585	K16284
GelC07G00587	K01427
GelC07G00591	K01427
GelC07G00592	K01427
GelC07G00596	K01427
GelC07G00609	K00939
GelC07G00615	K11662
GelC07G00617	K14684
GelC07G00621	K14775
GelC07G00627	K05389
GelC07G00628	K12835
GelC07G00633	K00020
GelC07G00638	K07198
GelC07G00639	K02537
GelC07G00648	K13448
GelC07G00650	K15627
GelC07G00655	K20720
GelC07G00656	K07739
GelC07G00657	K12818
GelC07G00661	K01634
GelC07G00668	K09008
GelC07G00669	K09338
GelC07G00673	K06634
GelC07G00679	K10765
GelC07G00681	K18749
GelC07G00684	K03035
GelC07G00688	K17987
GelC07G00689	K15283
GelC07G00690	K01866
GelC07G00692	K18980
GelC07G00693	K18980
GelC07G00694	K18980
GelC07G00702	K07023
GelC07G00703	K20724
GelC07G00705	K01056
GelC07G00706	K15168
GelC07G00707	K14785
GelC07G00708	K15111
GelC07G00710	K18693
GelC07G00717	K00588
GelC07G00727	K03595
GelC07G00728	K19355
GelC07G00735	K08245
GelC07G00739	K13508
GelC07G00742	K10581
GelC07G00745	K06630
GelC07G00752	K15191
GelC07G00758	K11000
GelC07G00767	K15176
GelC07G00776	K14207
GelC07G00783	K14791
GelC07G00785	K25786
GelC07G00786	K00784
GelC07G00788	K01373
GelC07G00794	K03026
GelC07G00795	K11982
GelC07G00796	K20860
GelC07G00799	K12393
GelC07G00802	K02888
GelC07G00808	K06063
GelC07G00811	K19828
GelC07G00822	K13144
GelC07G00827	K09875
GelC07G00833	K16315
GelC07G00841	K03283
GelC07G00843	K09338
GelC07G00847	K03517
GelC07G00850	K13150
GelC07G00852	K13150
GelC07G00855	K12581
GelC07G00856	K12581
GelC07G00858	K05019
GelC07G00859	K00030
GelC07G00860	K08867
GelC07G00862	K13148
GelC07G00867	K07517
GelC07G00868	K08064
GelC07G00869	K19861
GelC07G00871	K24083
GelC07G00873	K00430
GelC07G00875	K09560
GelC07G00876	K14011
GelC07G00877	K06630
GelC07G00878	K23541
GelC07G00880	K00627
GelC07G00884	K03686
GelC07G00886	K07955
GelC07G00887	K15166
GelC07G00890	K06678
GelC07G00892	K14300
GelC07G00893	K03109
GelC07G00894	K17080
GelC07G00895	K13104
GelC07G00896	K17991
GelC07G00897	K15128
GelC07G00903	K15115
GelC07G00907	K14484
GelC07G00910	K06062
GelC07G00911	K01303
GelC07G00913	K13448
GelC07G00920	K24205
GelC07G00937	K08511
GelC07G00942	K00966
GelC07G00943	K00966
GelC07G00944	K00966
GelC07G00945	K12603
GelC07G00947	K14802
GelC07G00948	K02979
GelC07G00951	K01899
GelC07G00952	K12373
GelC07G00953	K20222
GelC07G00954	K01598
GelC07G00955	K07374
GelC07G00961	K10268
GelC07G00963	K21248
GelC07G00971	K11253
GelC07G00973	K11253
GelC07G00977	K01184
GelC07G00979	K13121
GelC07G00982	K00942
GelC07G00983	K00392
GelC07G00984	K13412
GelC07G00985	K23336
GelC07G00987	K00465
GelC07G00998	K08272
GelC07G01002	K14411
GelC07G01004	K02937
GelC07G01005	K13366
GelC07G01015	K12178
GelC07G01016	K25869
GelC07G01018	K09338
GelC07G01025	K10598
GelC07G01026	K07955
GelC07G01028	K13169
GelC07G01030	K07760
GelC07G01031	K11254
GelC07G01037	K07297
GelC07G01038	K07297
GelC07G01039	K22047
GelC07G01041	K15040
GelC07G01044	K01537
GelC07G01046	K04567
GelC07G01047	K18667
GelC07G01054	K03129
GelC07G01055	K03097
GelC07G01058	K14487
GelC07G01061	K14487
GelC07G01062	K22419
GelC07G01064	K14487
GelC07G01065	K15923
GelC07G01069	K11593
GelC07G01073	K00872
GelC07G01077	K10597
GelC07G01078	K01110
GelC07G01079	K25861
GelC07G01085	K14557
GelC07G01086	K05280
GelC07G01087	K18663
GelC07G01088	K11406
GelC07G01089	K12741
GelC07G01091	K20619
GelC07G01092	K01057
GelC07G01098	K05284
GelC07G01109	K11649
GelC07G01112	K19001
GelC07G01120	K15378
GelC07G01124	K02266
GelC07G01127	K10606
GelC07G01128	K09338
GelC08G00000	K20619
GelC08G00002	K02608
GelC08G00006	K01126
GelC08G00007	K15177
GelC08G00010	K24963
GelC08G00012	K07512
GelC08G00015	K00688
GelC08G00016	K18211
GelC08G00017	K09591
GelC08G00018	K10046
GelC08G00020	K02930
GelC08G00026	K12502
GelC08G00027	K09566
GelC08G00028	K05658
GelC08G00029	K20347
GelC08G00033	K23951
GelC08G00036	K08857
GelC08G00040	K15360
GelC08G00042	K01968
GelC08G00046	K00547
GelC08G00051	K02734
GelC08G00062	K03644
GelC08G00068	K18443
GelC08G00075	K00167
GelC08G00076	K03120
GelC08G00078	K08496
GelC08G00079	K13754
GelC08G00080	K13754
GelC08G00081	K13863
GelC08G00084	K10573
GelC08G00085	K23953
GelC08G00086	K11086
GelC08G00091	K16573
GelC08G00093	K24810
GelC08G00096	K09842
GelC08G00098	K05349
GelC08G00100	K08486
GelC08G00101	K01301
GelC08G00102	K13412
GelC08G00106	K13412
GelC08G00108	K23309
GelC08G00112	K17479
GelC08G00114	K09503
GelC08G00115	K08486
GelC08G00118	K10609
GelC08G00119	K10891
GelC08G00121	K09840
GelC08G00125	K11517
GelC08G00126	K00799
GelC08G00134	K03294
GelC08G00135	K09338
GelC08G00138	K20367
GelC08G00140	K21848
GelC08G00142	K12191
GelC08G00143	K12191
GelC08G00145	K16189
GelC08G00152	K00627
GelC08G00154	K05758
GelC08G00156	K22382
GelC08G00158	K12617
GelC08G00159	K19788
GelC08G00163	K19706
GelC08G00164	K05765
GelC08G00170	K15456
GelC08G00177	K19042
GelC08G00178	K01520
GelC08G00180	K17553
GelC08G00181	K01945
GelC08G00186	K09587
GelC08G00188	K21805
GelC08G00192	K15032
GelC08G00193	K15032
GelC08G00196	K01892
GelC08G00200	K07374
GelC08G00202	K24917
GelC08G00204	K04487
GelC08G00214	K09338
GelC08G00216	K09422
GelC08G00218	K12657
GelC08G00219	K16302
GelC08G00227	K09285
GelC08G00244	K02870
GelC08G00246	K02870
GelC08G00253	K21768
GelC08G00258	K14561
GelC08G00262	K07964
GelC08G00269	K20293
GelC08G00282	K03097
GelC08G00286	K00759
GelC08G00287	K18667
GelC08G00288	K18811
GelC08G00289	K02915
GelC08G00290	K01537
GelC08G00291	K03511
GelC08G00294	K15223
GelC08G00297	K10400
GelC08G00298	K03245
GelC08G00302	K08286
GelC08G00305	K13109
GelC08G00307	K11087
GelC08G00318	K10523
GelC08G00337	K12199
GelC08G00338	K03363
GelC08G00343	K12825
GelC08G00344	K21483
GelC08G00345	K21483
GelC08G00347	K15223
GelC08G00349	K03714
GelC08G00363	K03216
